# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
141             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.37543002e+01	(-5.98615221e-04 1.06518292e-05 5.00000000e-02)	5
142             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.37715438e+01	(-5.98615221e-04 1.06518292e-05 5.00000000e-02)	5
143             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.37886106e+01	(-5.98615221e-04 1.06518292e-05 5.00000000e-02)	5
144             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.38055026e+01	(-5.98615221e-04 1.06518292e-05 5.00000000e-02)	5
145             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.38226547e+01	(-5.98615221e-04 9.81564942e-06 5.00000000e-02)	5
146             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.38397281e+01	(-5.98615221e-04 9.81564942e-06 5.00000000e-02)	5
147             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.38566328e+01	(-5.98615221e-04 9.81564942e-06 5.00000000e-02)	5
148             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.38733706e+01	(-5.98615221e-04 9.81564942e-06 5.00000000e-02)	5
149             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.38899431e+01	(-5.98615221e-04 9.81564942e-06 5.00000000e-02)	5
150             	mag(U)          	0.00000000e+00	(3.17484583e-01 0.00000000e+00 5.00000000e-02)	0	7.39063520e+01	(-5.98615221e-04 9.81564942e-06 5.00000000e-02)	5
